City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,prince rupert,54.3161,-130.3201,15.05,64,100,14.4,CA,1697156241
504,carletonville,-26.3609,27.3977,12.81,81,39,4.47,ZA,1697156241
505,saint-philippe,-21.3585,55.7679,22.77,86,58,3.38,RE,1697156241
506,luderitz,-26.6481,15.1594,14.61,75,0,7.99,NA,1697156242
507,mudurnu,40.473,31.2076,10.88,62,0,0.74,TR,1697156242
508,kasongo-lunda,-6.4667,16.8167,20.89,93,57,0.36,CD,1697156242
509,waiuku,-37.25,174.75,17.92,66,50,3.95,NZ,1697156242
510,bikenibeu village,1.3673,173.1241,29.26,68,75,2.94,KI,1697156243
511,santa marinella,42.0345,11.8536,18.16,70,6,1.58,IT,1697156243
512,zhumadian,32.9794,114.0294,17.7,72,99,1.27,CN,1697156180
513,sirohi,24.8833,72.8667,24.31,56,0,1.7,IN,1697156133
514,belen,36.4891,36.2233,16.08,83,20,1.03,TR,1697156243
515,tulagi,-9.0996,160.1476,26.39,83,100,8.45,SB,1697156244
516,senador jose porfirio,-2.5908,-51.9542,27.27,66,95,1.16,BR,1697156244
517,port moresby,-9.4431,147.1797,26.64,77,99,1.61,PG,1697156244
518,egilsstadir,65.2653,-14.3948,2.95,87,75,11.83,IS,1697156244
519,paragominas,-2.9667,-47.4833,24.51,80,95,2.31,BR,1697156245
520,el sauzal de rodriguez,31.9,-116.6833,19.12,71,1,2.09,MX,1697156245
521,copala,16.65,-98.9833,27.0,86,27,1.99,MX,1697156245
522,nguigmi,14.2495,13.1092,30.62,33,47,3.83,NE,1697156245
523,kataba,13.9833,44.3833,16.6,56,8,0.95,YE,1697156245
524,mangrol,21.1167,70.1167,26.42,80,3,3.47,IN,1697156246
525,bintulu,3.1667,113.0333,25.23,94,40,1.03,MY,1697156246
526,gebeit,21.0667,36.3167,24.15,52,0,2.58,SD,1697156246
527,aberdeen,57.1437,-2.0981,9.19,78,100,5.66,GB,1697156246
528,krasnaya gora,52.9995,31.6023,9.51,86,100,4.56,RU,1697156247
529,dongning,44.0622,131.1207,14.77,50,0,2.52,CN,1697156247
530,bardai,11.65,7.2333,23.9,44,74,3.27,NG,1697156247
531,clinton,42.587,-82.9199,14.01,75,75,3.6,US,1697156247
532,ponta delgada,37.7333,-25.6667,20.4,83,40,3.09,PT,1697156247
533,madinat ash shamal,26.1293,51.2009,30.01,58,1,0.96,QA,1697156248
534,champerico,14.3,-91.9167,27.3,77,78,5.15,GT,1697156248
535,malvan,16.0667,73.4667,26.17,82,92,2.0,IN,1697156248
536,estevan,49.1334,-102.9842,9.19,61,100,3.09,CA,1697156103
537,benguela,-12.5763,13.4055,22.57,86,69,3.11,AO,1697156248
538,palmer,42.1584,-72.3287,14.65,80,75,0.0,US,1697156249
539,hobyo,5.3505,48.5268,26.92,81,4,4.22,SO,1697156249
540,crane,31.3974,-102.3501,29.51,20,0,7.04,US,1697156249
541,itoman,26.1247,127.6694,27.43,62,20,7.72,JP,1697156249
542,chernyshevsk,52.5243,117.0174,7.19,63,29,1.24,RU,1697156129
543,lockwood,45.8191,-108.4149,7.45,95,100,4.63,US,1697155989
544,kita,13.0349,-9.4895,24.53,76,68,1.49,ML,1697156250
545,queenstown,-31.8976,26.8753,10.58,77,9,2.18,ZA,1697156250
546,nuku'alofa,-21.1333,-175.2,26.19,65,40,5.14,TO,1697156250
547,corner brook,48.9667,-57.9484,10.09,97,100,1.73,CA,1697156250
548,'anat al qadimah,34.4659,41.9331,24.77,35,0,3.26,IQ,1697156251
549,sarakhs,36.5449,61.1577,11.08,93,100,0.0,IR,1697156251
550,rundu,-17.9333,19.7667,23.58,42,82,1.54,NA,1697156251
551,eastham,41.8301,-69.9739,16.08,81,20,4.01,US,1697156252
552,oristano,39.9,8.6,19.58,51,1,1.77,IT,1697156252
553,marhamat,40.4805,72.3139,17.78,40,91,0.44,UZ,1697156252
554,hithadhoo,-0.6,73.0833,27.28,72,99,5.39,MV,1697156252
555,mar del plata,-38.0023,-57.5575,11.16,78,0,2.06,AR,1697156252
556,north bend,43.4065,-124.2243,21.95,53,0,2.57,US,1697156253
557,yokadouma,3.5167,15.05,21.76,93,65,0.97,CM,1697156253
558,hankasalmi,62.3833,26.4333,3.28,74,100,6.43,FI,1697156253
559,pitimbu,-7.4706,-34.8086,26.33,82,8,6.02,BR,1697156253
560,markovo,57.3206,107.0881,5.3,81,100,0.69,RU,1697156253
561,kazanlak,42.6167,25.4,12.27,61,0,0.98,BG,1697156254
562,nanzhang chengguanzhen,31.7839,111.8275,16.2,69,99,1.18,CN,1697156254
563,salym,60.0625,71.4789,2.49,89,97,4.68,RU,1697156254
564,navirai,-23.065,-54.1906,20.86,75,87,4.05,BR,1697156254
565,castillos,-34.1667,-53.8333,5.79,77,5,2.77,UY,1697156254
